pair_id,piece_id,split,context_section,target_section,context_ntokens,target_ntokens,compound_ks,sim_bucket
34,4,train,00004_s0_A_3-10,00004_s1_B_11-18,141,170,0.594222,sim:low
35,4,train,00004_s0_A_3-10,00004_s2_C_19-30,141,239,0.598795,sim:low
36,4,train,00004_s0_A_3-10,00004_s3_D_31-42,141,71,0.486131,sim:low
37,4,train,00004_s1_B_11-18,00004_s0_A_3-10,170,141,0.594222,sim:low
38,4,train,00004_s1_B_11-18,00004_s2_C_19-30,170,239,0.687065,sim:mid
39,4,train,00004_s1_B_11-18,00004_s3_D_31-42,170,71,0.577789,sim:low
40,4,train,00004_s2_C_19-30,00004_s0_A_3-10,239,141,0.598795,sim:low
41,4,train,00004_s2_C_19-30,00004_s1_B_11-18,239,170,0.687065,sim:mid
42,4,train,00004_s2_C_19-30,00004_s3_D_31-42,239,71,0.493223,sim:low
43,4,train,00004_s3_D_31-42,00004_s0_A_3-10,71,141,0.486131,sim:low
44,4,train,00004_s3_D_31-42,00004_s1_B_11-18,71,170,0.577789,sim:low
45,4,train,00004_s3_D_31-42,00004_s2_C_19-30,71,239,0.493223,sim:low
46,5,train,00005_s0_A_9-24,00005_s1_B_25-32,129,72,0.815295,sim:high
47,5,train,00005_s0_A_9-24,00005_s2_A_33-40,129,69,0.913921,sim:high
48,5,train,00005_s1_B_25-32,00005_s0_A_9-24,72,129,0.815295,sim:high
49,5,train,00005_s1_B_25-32,00005_s2_A_33-40,72,69,0.825347,sim:high
50,5,train,00005_s2_A_33-40,00005_s0_A_9-24,69,129,0.913921,sim:high
51,5,train,00005_s2_A_33-40,00005_s1_B_25-32,69,72,0.825347,sim:high
52,6,train,00006_s0_A_3-10,00006_s1_B_11-18,130,84,0.907147,sim:high
53,6,train,00006_s0_A_3-10,00006_s2_C_19-26,130,64,0.905851,sim:high
54,6,train,00006_s0_A_3-10,00006_s3_D_27-34,130,66,0.856741,sim:high
55,6,train,00006_s1_B_11-18,00006_s0_A_3-10,84,130,0.907147,sim:high
56,6,train,00006_s1_B_11-18,00006_s2_C_19-26,84,64,0.899803,sim:high
57,6,train,00006_s1_B_11-18,00006_s3_D_27-34,84,66,0.882762,sim:high
58,6,train,00006_s2_C_19-26,00006_s0_A_3-10,64,130,0.905851,sim:high
59,6,train,00006_s2_C_19-26,00006_s1_B_11-18,64,84,0.899803,sim:high
60,6,train,00006_s2_C_19-26,00006_s3_D_27-34,64,66,0.899336,sim:high
61,6,train,00006_s3_D_27-34,00006_s0_A_3-10,66,130,0.856741,sim:high
62,6,train,00006_s3_D_27-34,00006_s1_B_11-18,66,84,0.882762,sim:high
63,6,train,00006_s3_D_27-34,00006_s2_C_19-26,66,64,0.899336,sim:high
64,7,test,00007_s0_A_1-8,00007_s1_B_9-16,131,143,0.564459,sim:low
65,7,test,00007_s0_A_1-8,00007_s2_C_17-25,131,215,0.923165,sim:high
66,7,test,00007_s1_B_9-16,00007_s0_A_1-8,143,131,0.564459,sim:low
67,7,test,00007_s1_B_9-16,00007_s2_C_17-25,143,215,0.580355,sim:low
68,7,test,00007_s2_C_17-25,00007_s0_A_1-8,215,131,0.923165,sim:high
69,7,test,00007_s2_C_17-25,00007_s1_B_9-16,215,143,0.580355,sim:low
70,8,train,00008_s0_A_1-8,00008_s1_B_9-16,87,84,0.923992,sim:high
71,8,train,00008_s0_A_1-8,00008_s2_C_17-28,87,153,0.714396,sim:mid
72,8,train,00008_s1_B_9-16,00008_s0_A_1-8,84,87,0.923992,sim:high
73,8,train,00008_s1_B_9-16,00008_s2_C_17-28,84,153,0.688836,sim:mid
74,8,train,00008_s2_C_17-28,00008_s0_A_1-8,153,87,0.714396,sim:mid
75,8,train,00008_s2_C_17-28,00008_s1_B_9-16,153,84,0.688836,sim:mid
76,10,train,00010_s0_A_7-14,00010_s1_A_15-24,220,302,0.954782,sim:high
77,10,train,00010_s0_A_7-14,00010_s2_B_25-38,220,144,0.517896,sim:low
78,10,train,00010_s0_A_7-14,00010_s3_A_39-46,220,223,0.974029,sim:high
79,10,train,00010_s0_A_7-14,00010_s4_A_47-54,220,221,0.644683,sim:mid
80,10,train,00010_s0_A_7-14,00010_s5_A_55-65,220,228,0.641888,sim:mid
81,10,train,00010_s1_A_15-24,00010_s0_A_7-14,302,220,0.954782,sim:high
82,10,train,00010_s1_A_15-24,00010_s2_B_25-38,302,144,0.516851,sim:low
83,10,train,00010_s1_A_15-24,00010_s3_A_39-46,302,223,0.982229,sim:high
84,10,train,00010_s1_A_15-24,00010_s4_A_47-54,302,221,0.614995,sim:mid
85,10,train,00010_s1_A_15-24,00010_s5_A_55-65,302,228,0.600245,sim:mid
86,10,train,00010_s2_B_25-38,00010_s0_A_7-14,144,220,0.517896,sim:low
87,10,train,00010_s2_B_25-38,00010_s1_A_15-24,144,302,0.516851,sim:low
88,10,train,00010_s2_B_25-38,00010_s3_A_39-46,144,223,0.521877,sim:low
89,10,train,00010_s2_B_25-38,00010_s4_A_47-54,144,221,0.841562,sim:high
90,10,train,00010_s2_B_25-38,00010_s5_A_55-65,144,228,0.82209,sim:high
91,10,train,00010_s3_A_39-46,00010_s0_A_7-14,223,220,0.974029,sim:high
92,10,train,00010_s3_A_39-46,00010_s1_A_15-24,223,302,0.982229,sim:high
93,10,train,00010_s3_A_39-46,00010_s2_B_25-38,223,144,0.521877,sim:low
94,10,train,00010_s3_A_39-46,00010_s4_A_47-54,223,221,0.628301,sim:mid
95,10,train,00010_s3_A_39-46,00010_s5_A_55-65,223,228,0.61117,sim:mid
96,10,train,00010_s4_A_47-54,00010_s0_A_7-14,221,220,0.644683,sim:mid
97,10,train,00010_s4_A_47-54,00010_s1_A_15-24,221,302,0.614995,sim:mid
98,10,train,00010_s4_A_47-54,00010_s2_B_25-38,221,144,0.841562,sim:high
99,10,train,00010_s4_A_47-54,00010_s3_A_39-46,221,223,0.628301,sim:mid
100,10,train,00010_s4_A_47-54,00010_s5_A_55-65,221,228,0.979072,sim:high
101,10,train,00010_s5_A_55-65,00010_s0_A_7-14,228,220,0.641888,sim:mid
102,10,train,00010_s5_A_55-65,00010_s1_A_15-24,228,302,0.600245,sim:mid
103,10,train,00010_s5_A_55-65,00010_s2_B_25-38,228,144,0.82209,sim:high
104,10,train,00010_s5_A_55-65,00010_s3_A_39-46,228,223,0.61117,sim:mid
105,10,train,00010_s5_A_55-65,00010_s4_A_47-54,228,221,0.979072,sim:high
106,12,val,00012_s0_A_1-8,00012_s1_B_9-18,94,66,0.50743,sim:low
107,12,val,00012_s1_B_9-18,00012_s0_A_1-8,66,94,0.50743,sim:low
108,13,train,00013_s0_A_5-14,00013_s1_B_15-21,94,134,0.542672,sim:low
109,13,train,00013_s1_B_15-21,00013_s0_A_5-14,134,94,0.542672,sim:low
110,15,train,00015_s0_A_1-8,00015_s1_B_9-17,64,127,0.803655,sim:high
111,15,train,00015_s1_B_9-17,00015_s0_A_1-8,127,64,0.803655,sim:high
112,17,train,00017_s0_A_2-9,00017_s1_A_10-17,31,33,0.987441,sim:high
113,17,train,00017_s0_A_2-9,00017_s2_B_18-30,31,45,0.83978,sim:high
114,17,train,00017_s1_A_10-17,00017_s0_A_2-9,33,31,0.987441,sim:high
115,17,train,00017_s1_A_10-17,00017_s2_B_18-30,33,45,0.83207,sim:high
116,17,train,00017_s2_B_18-30,00017_s0_A_2-9,45,31,0.83978,sim:high
117,17,train,00017_s2_B_18-30,00017_s1_A_10-17,45,33,0.83207,sim:high
118,21,test,00021_s0_A_1-8,00021_s1_B_9-16,110,83,0.565167,sim:low
119,21,test,00021_s0_A_1-8,00021_s2_A_17-24,110,115,0.635166,sim:mid
120,21,test,00021_s0_A_1-8,00021_s3_C_25-32,110,170,0.511271,sim:low
121,21,test,00021_s1_B_9-16,00021_s0_A_1-8,83,110,0.565167,sim:low
122,21,test,00021_s1_B_9-16,00021_s2_A_17-24,83,115,0.591753,sim:low
123,21,test,00021_s1_B_9-16,00021_s3_C_25-32,83,170,0.7322,sim:mid
124,21,test,00021_s2_A_17-24,00021_s0_A_1-8,115,110,0.635166,sim:mid
125,21,test,00021_s2_A_17-24,00021_s1_B_9-16,115,83,0.591753,sim:low
126,21,test,00021_s2_A_17-24,00021_s3_C_25-32,115,170,0.523244,sim:low
127,21,test,00021_s3_C_25-32,00021_s0_A_1-8,170,110,0.511271,sim:low
128,21,test,00021_s3_C_25-32,00021_s1_B_9-16,170,83,0.7322,sim:mid
129,21,test,00021_s3_C_25-32,00021_s2_A_17-24,170,115,0.523244,sim:low
130,22,train,00022_s0_A_1-16,00022_s1_B_17-32,155,129,0.608085,sim:mid
131,22,train,00022_s0_A_1-16,00022_s2_A_33-48,155,147,0.76493,sim:mid
132,22,train,00022_s1_B_17-32,00022_s0_A_1-16,129,155,0.608085,sim:mid
133,22,train,00022_s1_B_17-32,00022_s2_A_33-48,129,147,0.728032,sim:mid
134,22,train,00022_s2_A_33-48,00022_s0_A_1-16,147,155,0.76493,sim:mid
135,22,train,00022_s2_A_33-48,00022_s1_B_17-32,147,129,0.728032,sim:mid
136,25,train,00025_s0_A_1-8,00025_s1_B_9-20,128,197,0.634057,sim:mid
137,25,train,00025_s1_B_9-20,00025_s0_A_1-8,197,128,0.634057,sim:mid
138,26,train,00026_s0_A_1-16,00026_s1_B_17-28,203,139,0.574855,sim:low
139,26,train,00026_s1_B_17-28,00026_s0_A_1-16,139,203,0.574855,sim:low
140,27,val,00027_s0_A_1-8,00027_s1_B_9-16,96,96,0.606916,sim:mid
141,27,val,00027_s1_B_9-16,00027_s0_A_1-8,96,96,0.606916,sim:mid
142,28,train,00028_s0_A_1-16,00028_s1_B_17-28,173,108,0.636517,sim:mid
143,28,train,00028_s1_B_17-28,00028_s0_A_1-16,108,173,0.636517,sim:mid
144,29,val,00029_s0_A_1-8,00029_s1_B_9-24,108,206,0.609549,sim:mid
145,29,val,00029_s0_A_1-8,00029_s2_A_25-32,108,107,0.996896,sim:high
146,29,val,00029_s0_A_1-8,00029_s3_C_33-52,108,234,0.613364,sim:mid
147,29,val,00029_s1_B_9-24,00029_s0_A_1-8,206,108,0.609549,sim:mid
148,29,val,00029_s1_B_9-24,00029_s2_A_25-32,206,107,0.606795,sim:mid
149,29,val,00029_s1_B_9-24,00029_s3_C_33-52,206,234,0.629341,sim:mid
150,29,val,00029_s2_A_25-32,00029_s0_A_1-8,107,108,0.996896,sim:high
151,29,val,00029_s2_A_25-32,00029_s1_B_9-24,107,206,0.606795,sim:mid
152,29,val,00029_s2_A_25-32,00029_s3_C_33-52,107,234,0.610763,sim:mid
153,29,val,00029_s3_C_33-52,00029_s0_A_1-8,234,108,0.613364,sim:mid
154,29,val,00029_s3_C_33-52,00029_s1_B_9-24,234,206,0.629341,sim:mid
155,29,val,00029_s3_C_33-52,00029_s2_A_25-32,234,107,0.610763,sim:mid
156,30,train,00030_s0_A_1-8,00030_s1_B_9-22,153,249,0.643361,sim:mid
157,30,train,00030_s0_A_1-8,00030_s2_C_23-32,153,113,0.561362,sim:low
158,30,train,00030_s1_B_9-22,00030_s0_A_1-8,249,153,0.643361,sim:mid
159,30,train,00030_s1_B_9-22,00030_s2_C_23-32,249,113,0.629905,sim:mid
160,30,train,00030_s2_C_23-32,00030_s0_A_1-8,113,153,0.561362,sim:low
161,30,train,00030_s2_C_23-32,00030_s1_B_9-22,113,249,0.629905,sim:mid
162,31,train,00031_s0_A_5-12,00031_s1_B_13-28,106,214,0.590396,sim:low
163,31,train,00031_s0_A_5-12,00031_s2_A_29-36,106,134,0.970869,sim:high
164,31,train,00031_s0_A_5-12,00031_s3_B_37-52,106,212,0.570574,sim:low
165,31,train,00031_s0_A_5-12,00031_s4_C_53-68,106,207,0.551086,sim:low
166,31,train,00031_s1_B_13-28,00031_s0_A_5-12,214,106,0.590396,sim:low
167,31,train,00031_s1_B_13-28,00031_s2_A_29-36,214,134,0.580346,sim:low
168,31,train,00031_s1_B_13-28,00031_s3_B_37-52,214,212,0.655565,sim:mid
169,31,train,00031_s1_B_13-28,00031_s4_C_53-68,214,207,0.641244,sim:mid
170,31,train,00031_s2_A_29-36,00031_s0_A_5-12,134,106,0.970869,sim:high
171,31,train,00031_s2_A_29-36,00031_s1_B_13-28,134,214,0.580346,sim:low
172,31,train,00031_s2_A_29-36,00031_s3_B_37-52,134,212,0.565035,sim:low
173,31,train,00031_s2_A_29-36,00031_s4_C_53-68,134,207,0.538381,sim:low
174,31,train,00031_s3_B_37-52,00031_s0_A_5-12,212,106,0.570574,sim:low
175,31,train,00031_s3_B_37-52,00031_s1_B_13-28,212,214,0.655565,sim:mid
176,31,train,00031_s3_B_37-52,00031_s2_A_29-36,212,134,0.565035,sim:low
177,31,train,00031_s3_B_37-52,00031_s4_C_53-68,212,207,0.639542,sim:mid
178,31,train,00031_s4_C_53-68,00031_s0_A_5-12,207,106,0.551086,sim:low
179,31,train,00031_s4_C_53-68,00031_s1_B_13-28,207,214,0.641244,sim:mid
180,31,train,00031_s4_C_53-68,00031_s2_A_29-36,207,134,0.538381,sim:low
181,31,train,00031_s4_C_53-68,00031_s3_B_37-52,207,212,0.639542,sim:mid
182,33,val,00033_s0_A_6-20,00033_s1_B_21-28,134,42,0.843856,sim:high
183,33,val,00033_s0_A_6-20,00033_s2_C_29-36,134,90,0.925396,sim:high
184,33,val,00033_s0_A_6-20,00033_s3_D_37-47,134,96,0.588511,sim:low
185,33,val,00033_s1_B_21-28,00033_s0_A_6-20,42,134,0.843856,sim:high
186,33,val,00033_s1_B_21-28,00033_s2_C_29-36,42,90,0.67868,sim:mid
187,33,val,00033_s1_B_21-28,00033_s3_D_37-47,42,96,0.508754,sim:low
188,33,val,00033_s2_C_29-36,00033_s0_A_6-20,90,134,0.925396,sim:high
189,33,val,00033_s2_C_29-36,00033_s1_B_21-28,90,42,0.67868,sim:mid
190,33,val,00033_s2_C_29-36,00033_s3_D_37-47,90,96,0.58139,sim:low
191,33,val,00033_s3_D_37-47,00033_s0_A_6-20,96,134,0.588511,sim:low
192,33,val,00033_s3_D_37-47,00033_s1_B_21-28,96,42,0.508754,sim:low
193,33,val,00033_s3_D_37-47,00033_s2_C_29-36,96,90,0.58139,sim:low
194,35,train,00035_s0_A_3-16,00035_s1_B_17-24,144,92,0.525291,sim:low
195,35,train,00035_s0_A_3-16,00035_s2_C_25-36,144,125,0.549759,sim:low
196,35,train,00035_s0_A_3-16,00035_s3_D_37-44,144,72,0.545092,sim:low
197,35,train,00035_s1_B_17-24,00035_s0_A_3-16,92,144,0.525291,sim:low
198,35,train,00035_s1_B_17-24,00035_s2_C_25-36,92,125,0.864097,sim:high
199,35,train,00035_s1_B_17-24,00035_s3_D_37-44,92,72,0.811218,sim:high
200,35,train,00035_s2_C_25-36,00035_s0_A_3-16,125,144,0.549759,sim:low
201,35,train,00035_s2_C_25-36,00035_s1_B_17-24,125,92,0.864097,sim:high
202,35,train,00035_s2_C_25-36,00035_s3_D_37-44,125,72,0.929145,sim:high
203,35,train,00035_s3_D_37-44,00035_s0_A_3-16,72,144,0.545092,sim:low
204,35,train,00035_s3_D_37-44,00035_s1_B_17-24,72,92,0.811218,sim:high
205,35,train,00035_s3_D_37-44,00035_s2_C_25-36,72,125,0.929145,sim:high
206,37,train,00037_s0_A_3-12,00037_s1_B_13-20,123,121,0.629102,sim:mid
207,37,train,00037_s0_A_3-12,00037_s2_C_21-28,123,118,0.542261,sim:low
208,37,train,00037_s1_B_13-20,00037_s0_A_3-12,121,123,0.629102,sim:mid
209,37,train,00037_s1_B_13-20,00037_s2_C_21-28,121,118,0.55625,sim:low
210,37,train,00037_s2_C_21-28,00037_s0_A_3-12,118,123,0.542261,sim:low
211,37,train,00037_s2_C_21-28,00037_s1_B_13-20,118,121,0.55625,sim:low
212,39,test,00039_s0_A_5-20,00039_s1_B_21-28,223,106,0.580692,sim:low
213,39,test,00039_s0_A_5-20,00039_s2_A_29-44,223,208,0.989166,sim:high
214,39,test,00039_s0_A_5-20,00039_s3_C_45-60,223,156,0.602815,sim:mid
215,39,test,00039_s1_B_21-28,00039_s0_A_5-20,106,223,0.580692,sim:low
216,39,test,00039_s1_B_21-28,00039_s2_A_29-44,106,208,0.591352,sim:low
217,39,test,00039_s1_B_21-28,00039_s3_C_45-60,106,156,0.832929,sim:high
218,39,test,00039_s2_A_29-44,00039_s0_A_5-20,208,223,0.989166,sim:high
219,39,test,00039_s2_A_29-44,00039_s1_B_21-28,208,106,0.591352,sim:low
220,39,test,00039_s2_A_29-44,00039_s3_C_45-60,208,156,0.626744,sim:mid
221,39,test,00039_s3_C_45-60,00039_s0_A_5-20,156,223,0.602815,sim:mid
222,39,test,00039_s3_C_45-60,00039_s1_B_21-28,156,106,0.832929,sim:high
223,39,test,00039_s3_C_45-60,00039_s2_A_29-44,156,208,0.626744,sim:mid
224,40,train,00040_s0_A_3-10,00040_s1_B_11-18,100,116,0.636839,sim:mid
225,40,train,00040_s0_A_3-10,00040_s2_C_19-30,100,179,0.620239,sim:mid
226,40,train,00040_s0_A_3-10,00040_s3_B_31-38,100,109,0.657294,sim:mid
227,40,train,00040_s0_A_3-10,00040_s4_D_39-54,100,205,0.697738,sim:mid
228,40,train,00040_s1_B_11-18,00040_s0_A_3-10,116,100,0.636839,sim:mid
229,40,train,00040_s1_B_11-18,00040_s2_C_19-30,116,179,0.987957,sim:high
230,40,train,00040_s1_B_11-18,00040_s3_B_31-38,116,109,0.649127,sim:mid
231,40,train,00040_s1_B_11-18,00040_s4_D_39-54,116,205,0.602092,sim:mid
232,40,train,00040_s2_C_19-30,00040_s0_A_3-10,179,100,0.620239,sim:mid
233,40,train,00040_s2_C_19-30,00040_s1_B_11-18,179,116,0.987957,sim:high
234,40,train,00040_s2_C_19-30,00040_s3_B_31-38,179,109,0.641921,sim:mid
235,40,train,00040_s2_C_19-30,00040_s4_D_39-54,179,205,0.592167,sim:low
236,40,train,00040_s3_B_31-38,00040_s0_A_3-10,109,100,0.657294,sim:mid
237,40,train,00040_s3_B_31-38,00040_s1_B_11-18,109,116,0.649127,sim:mid
238,40,train,00040_s3_B_31-38,00040_s2_C_19-30,109,179,0.641921,sim:mid
239,40,train,00040_s3_B_31-38,00040_s4_D_39-54,109,205,0.671582,sim:mid
240,40,train,00040_s4_D_39-54,00040_s0_A_3-10,205,100,0.697738,sim:mid
241,40,train,00040_s4_D_39-54,00040_s1_B_11-18,205,116,0.602092,sim:mid
242,40,train,00040_s4_D_39-54,00040_s2_C_19-30,205,179,0.592167,sim:low
243,40,train,00040_s4_D_39-54,00040_s3_B_31-38,205,109,0.671582,sim:mid
244,42,train,00042_s0_A_9-16,00042_s1_B_17-24,58,74,0.473576,sim:low
245,42,train,00042_s0_A_9-16,00042_s2_A_25-38,58,102,0.650841,sim:mid
246,42,train,00042_s1_B_17-24,00042_s0_A_9-16,74,58,0.473576,sim:low
247,42,train,00042_s1_B_17-24,00042_s2_A_25-38,74,102,0.660606,sim:mid
248,42,train,00042_s2_A_25-38,00042_s0_A_9-16,102,58,0.650841,sim:mid
249,42,train,00042_s2_A_25-38,00042_s1_B_17-24,102,74,0.660606,sim:mid
250,44,train,00044_s0_A_7-18,00044_s1_A_19-34,227,284,0.624498,sim:mid
251,44,train,00044_s0_A_7-18,00044_s2_B_35-50,227,304,0.809406,sim:high
252,44,train,00044_s0_A_7-18,00044_s3_C_51-60,227,199,0.611211,sim:mid
253,44,train,00044_s1_A_19-34,00044_s0_A_7-18,284,227,0.624498,sim:mid
254,44,train,00044_s1_A_19-34,00044_s2_B_35-50,284,304,0.588207,sim:low
255,44,train,00044_s1_A_19-34,00044_s3_C_51-60,284,199,0.622545,sim:mid
256,44,train,00044_s2_B_35-50,00044_s0_A_7-18,304,227,0.809406,sim:high
257,44,train,00044_s2_B_35-50,00044_s1_A_19-34,304,284,0.588207,sim:low
258,44,train,00044_s2_B_35-50,00044_s3_C_51-60,304,199,0.637624,sim:mid
259,44,train,00044_s3_C_51-60,00044_s0_A_7-18,199,227,0.611211,sim:mid
260,44,train,00044_s3_C_51-60,00044_s1_A_19-34,199,284,0.622545,sim:mid
261,44,train,00044_s3_C_51-60,00044_s2_B_35-50,199,304,0.637624,sim:mid
262,45,train,00045_s0_A_5-12,00045_s1_A_13-24,100,237,0.606299,sim:mid
263,45,train,00045_s0_A_5-12,00045_s2_B_25-36,100,112,0.833087,sim:high
264,45,train,00045_s1_A_13-24,00045_s0_A_5-12,237,100,0.606299,sim:mid
265,45,train,00045_s1_A_13-24,00045_s2_B_25-36,237,112,0.603833,sim:mid
266,45,train,00045_s2_B_25-36,00045_s0_A_5-12,112,100,0.833087,sim:high
267,45,train,00045_s2_B_25-36,00045_s1_A_13-24,112,237,0.603833,sim:mid
268,46,train,00046_s0_A_2-9,00046_s1_B_10-17,206,145,0.890724,sim:high
269,46,train,00046_s0_A_2-9,00046_s2_C_18-25,206,164,0.525916,sim:low
270,46,train,00046_s1_B_10-17,00046_s0_A_2-9,145,206,0.890724,sim:high
271,46,train,00046_s1_B_10-17,00046_s2_C_18-25,145,164,0.588901,sim:low
272,46,train,00046_s2_C_18-25,00046_s0_A_2-9,164,206,0.525916,sim:low
273,46,train,00046_s2_C_18-25,00046_s1_B_10-17,164,145,0.588901,sim:low
274,47,train,00047_s0_A_1-8,00047_s1_B_9-16,96,61,0.523384,sim:low
275,47,train,00047_s0_A_1-8,00047_s2_A_17-24,96,94,0.992372,sim:high
276,47,train,00047_s0_A_1-8,00047_s3_C_25-32,96,73,0.600264,sim:mid
277,47,train,00047_s0_A_1-8,00047_s4_D_33-50,96,187,0.892887,sim:high
278,47,train,00047_s1_B_9-16,00047_s0_A_1-8,61,96,0.523384,sim:low
279,47,train,00047_s1_B_9-16,00047_s2_A_17-24,61,94,0.533715,sim:low
280,47,train,00047_s1_B_9-16,00047_s3_C_25-32,61,73,0.808383,sim:high
281,47,train,00047_s1_B_9-16,00047_s4_D_33-50,61,187,0.546399,sim:low
282,47,train,00047_s2_A_17-24,00047_s0_A_1-8,94,96,0.992372,sim:high
283,47,train,00047_s2_A_17-24,00047_s1_B_9-16,94,61,0.533715,sim:low
284,47,train,00047_s2_A_17-24,00047_s3_C_25-32,94,73,0.609219,sim:mid
285,47,train,00047_s2_A_17-24,00047_s4_D_33-50,94,187,0.887532,sim:high
286,47,train,00047_s3_C_25-32,00047_s0_A_1-8,73,96,0.600264,sim:mid
287,47,train,00047_s3_C_25-32,00047_s1_B_9-16,73,61,0.808383,sim:high
288,47,train,00047_s3_C_25-32,00047_s2_A_17-24,73,94,0.609219,sim:mid
289,47,train,00047_s3_C_25-32,00047_s4_D_33-50,73,187,0.716416,sim:mid
290,47,train,00047_s4_D_33-50,00047_s0_A_1-8,187,96,0.892887,sim:high
291,47,train,00047_s4_D_33-50,00047_s1_B_9-16,187,61,0.546399,sim:low
292,47,train,00047_s4_D_33-50,00047_s2_A_17-24,187,94,0.887532,sim:high
293,47,train,00047_s4_D_33-50,00047_s3_C_25-32,187,73,0.716416,sim:mid
294,48,test,00048_s0_A_5-20,00048_s1_B_21-28,291,181,0.561961,sim:low
295,48,test,00048_s1_B_21-28,00048_s0_A_5-20,181,291,0.561961,sim:low
296,49,train,00049_s0_A_1-8,00049_s1_B_9-16,93,56,0.55267,sim:low
297,49,train,00049_s0_A_1-8,00049_s2_A_17-24,93,89,0.985225,sim:high
298,49,train,00049_s0_A_1-8,00049_s3_C_25-32,93,75,0.627368,sim:mid
299,49,train,00049_s0_A_1-8,00049_s4_D_33-40,93,83,0.648011,sim:mid
300,49,train,00049_s0_A_1-8,00049_s5_E_41-50,93,117,0.636282,sim:mid
301,49,train,00049_s1_B_9-16,00049_s0_A_1-8,56,93,0.55267,sim:low
302,49,train,00049_s1_B_9-16,00049_s2_A_17-24,56,89,0.549525,sim:low
303,49,train,00049_s1_B_9-16,00049_s3_C_25-32,56,75,0.753129,sim:mid
304,49,train,00049_s1_B_9-16,00049_s4_D_33-40,56,83,0.579678,sim:low
305,49,train,00049_s1_B_9-16,00049_s5_E_41-50,56,117,0.813907,sim:high
306,49,train,00049_s2_A_17-24,00049_s0_A_1-8,89,93,0.985225,sim:high
307,49,train,00049_s2_A_17-24,00049_s1_B_9-16,89,56,0.549525,sim:low
308,49,train,00049_s2_A_17-24,00049_s3_C_25-32,89,75,0.668181,sim:mid
309,49,train,00049_s2_A_17-24,00049_s4_D_33-40,89,83,0.630098,sim:mid
310,49,train,00049_s2_A_17-24,00049_s5_E_41-50,89,117,0.648308,sim:mid
311,49,train,00049_s3_C_25-32,00049_s0_A_1-8,75,93,0.627368,sim:mid
312,49,train,00049_s3_C_25-32,00049_s1_B_9-16,75,56,0.753129,sim:mid
